Data;fev/14;mar/14;abr/14;mai/14;jun/14;jul/14;ago/14;set/14;out/14;nov/14;dez/14;jan/15;fev/15;mar/15;abr/15;mai/15;jun/15;jul/15;ago/15;set/15;out/15;nov/15;dez/15;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18
02/07/2014; ; ; ; ;-1;-0,75;1;0;-0,91;0,32;2,45;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
03/07/2014; ; ; ; ;-1,26;-0,88;-0,38;-0,5;-0,95;0,16;2,45;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
04/07/2014; ; ; ; ;-1,65;-0,88;-0,38;-0,5;-1;-0,48;2,45;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43;1,7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
07/07/2014; ; ; ; ;-1;-0,75;0,04;0;-0,99;0;2,69;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43;1,66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
08/07/2014; ; ; ; ;-1;-0,74;0,52;0,51;0,29;1,05;2,5;2;2;1,79;2;1,3;1,7;1,64;1,75;1,23;1,7;1,7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
09/07/2014; ; ; ; ;-1;-0,74;0,52;0,51;0,29;1,05;2,5;2;2;1,79;2;1,3;1,7;1,64;1,75;1,23;1,7;1,7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
10/07/2014; ; ; ; ;-1;-0,74;0,52;0,51;0,29;1,05;2,5;2;2;1,79;2;1,3;1,7;1,64;1,75;1,23;1,7;1,7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
11/07/2014; ; ; ; ;-1,9;-0,73;-1;0;0;0,6;2,74;1,9;2;1,75;1,85;1,5;1,77;1,7;1,7;1,47;1,43;1,66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
14/07/2014; ; ; ; ;-1,9;-0,73;-1;0;0;0,6;2,74;1,9;2;1,75;1,85;1,5;1,77;1,7;1,7;1,47;1,43;1,66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
15/07/2014; ; ; ; ;-2,3;-0,74;-0,48;-0,5;-0,5;0,3;2,5;2;2;1,79;2;1,3;1,7;1,64;1,75;1,23;1,43;1,66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
16/07/2014; ; ; ; ;-2,8;-0,75;-1;-1;-0,99;0;2,51;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,16;1,63; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
17/07/2014; ; ; ; ;-2,8;-0,75;-1;-1;-0,99;0;2,51;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,16;1,63; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
18/07/2014; ; ; ; ;-3,5;-1,1;-1,75;-1;-0,99;-0,8;2,51;1,85;2;1,75;1,85;1,17;1,7;1,39;1,52;1;1,08;1,31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
21/07/2014; ; ; ; ;-3,85;-1,75;-1,88;-1,3;-1;-0,88;2,52;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
22/07/2014; ; ; ; ;-3,85;-1,75;-1,88;-1,3;-1;-0,88;2,52;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
23/07/2014; ; ; ; ;-3,85;-1,75;-1,88;-1,3;-1;-0,88;2,52;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
24/07/2014; ; ; ; ;-3,85;-1,75;-1,88;-1,3;-1;-0,88;2,52;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
25/07/2014; ; ; ; ;-3,7;-1,1;-1,75;-1;-0,99;-0,94;2,51;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
28/07/2014; ; ; ; ;-3,85;-1,1;-1,75;-1;-0,99;-0,94;2,51;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
